loan_id,customer_id,loan_type,loan_amount
LOAN000111,CUST035054,BUSINESS,3461520
LOAN000112,CUST056112,BUSINESS,4253978
LOAN000113,CUST012552,CAR,2098834
LOAN000114,CUST026824,BUSINESS,2232716
LOAN000115,CUST025453,PERSONAL,4257000
LOAN000116,CUST075888,BUSINESS,1249053
LOAN000117,CUST098969,BUSINESS,285741
LOAN000118,CUST045795,CAR,2508695
LOAN000119,CUST055566,BUSINESS,1759009
LOAN000120,CUST046566,PERSONAL,4704768
LOAN000121,CUST095793,HOME,4127306
LOAN000122,CUST088210,BUSINESS,1635383
LOAN000123,CUST054066,HOME,4360494
LOAN000124,CUST009751,BUSINESS,2552425
LOAN000125,CUST054814,CAR,3884153
LOAN000126,CUST012487,BUSINESS,4111153
LOAN000127,CUST051099,PERSONAL,3969708
LOAN000128,CUST016308,BUSINESS,3009114
LOAN000129,CUST060050,PERSONAL,3402551
LOAN000130,CUST054195,PERSONAL,3156628
LOAN000131,CUST006623,HOME,2860064
LOAN000132,CUST041081,BUSINESS,1588205
LOAN000133,CUST068841,PERSONAL,4430327
LOAN000134,CUST080197,CAR,4748484
LOAN000135,CUST022091,BUSINESS,3178397
LOAN000136,CUST043286,BUSINESS,631580
LOAN000137,CUST027676,HOME,2174626
LOAN000138,CUST003399,BUSINESS,4580554
LOAN000139,CUST092320,BUSINESS,1292262
LOAN000140,CUST082565,PERSONAL,1554323
LOAN000141,CUST082916,PERSONAL,4688693
LOAN000142,CUST087800,HOME,1041211
LOAN000143,CUST003023,PERSONAL,4123389
LOAN000144,CUST090178,CAR,1504388
LOAN000145,CUST078193,PERSONAL,2818261
LOAN000146,CUST002283,HOME,3184739
LOAN000147,CUST014697,HOME,4548579
LOAN000148,CUST097970,PERSONAL,2218326
LOAN000149,CUST063911,HOME,1563233
LOAN000150,CUST049193,HOME,1305006
LOAN000151,CUST064858,HOME,4176470
LOAN000152,CUST028577,BUSINESS,3839086
LOAN000153,CUST092747,HOME,2644235
LOAN000154,CUST041555,BUSINESS,2781234
LOAN000155,CUST073484,HOME,889749
LOAN000156,CUST077074,HOME,2239705
LOAN000157,CUST044123,CAR,1297595
LOAN000158,CUST039728,PERSONAL,150504
LOAN000159,CUST069299,CAR,3460116
LOAN000160,CUST076234,PERSONAL,589860
LOAN000161,CUST051635,HOME,1730475
LOAN000162,CUST008671,BUSINESS,3777980
LOAN000163,CUST081926,PERSONAL,1700831
LOAN000164,CUST016399,PERSONAL,708136
LOAN000165,CUST074722,BUSINESS,533382
LOAN000166,CUST027630,HOME,2351598
LOAN000167,CUST049160,PERSONAL,1631932
LOAN000168,CUST052877,PERSONAL,1056928
LOAN000169,CUST086674,BUSINESS,3696461
LOAN000170,CUST031414,CAR,3394914
LOAN000171,CUST081419,PERSONAL,1317485
LOAN000172,CUST038727,CAR,1369974
LOAN000173,CUST028713,PERSONAL,821589
LOAN000174,CUST092633,CAR,4597342
LOAN000175,CUST072458,PERSONAL,1591597
LOAN000176,CUST029644,CAR,4588300
LOAN000177,CUST077219,HOME,2568333
LOAN000178,CUST005333,HOME,4289544
LOAN000179,CUST085239,PERSONAL,1144167
LOAN000180,CUST025284,HOME,1326781
LOAN000181,CUST036791,CAR,3834603
LOAN000182,CUST014118,PERSONAL,1242778
LOAN000183,CUST093629,PERSONAL,369098
LOAN000184,CUST068119,BUSINESS,3504155
LOAN000185,CUST058509,CAR,502691
LOAN000186,CUST023981,CAR,4342185
LOAN000187,CUST039343,CAR,2845290
LOAN000188,CUST050421,PERSONAL,3391562
LOAN000189,CUST038053,HOME,1068040
LOAN000190,CUST019565,CAR,2070174
LOAN000191,CUST085644,HOME,2322533
LOAN000192,CUST073820,BUSINESS,611853
LOAN000193,CUST043624,CAR,1139751
LOAN000194,CUST099111,HOME,1619625
LOAN000195,CUST084318,HOME,4767716
LOAN000196,CUST045792,BUSINESS,3229603
LOAN000197,CUST075254,HOME,1657423
LOAN000198,CUST009854,BUSINESS,846229
LOAN000199,CUST020210,BUSINESS,1057205
LOAN000200,CUST029891,CAR,262756
LOAN000201,CUST037910,BUSINESS,1886271
LOAN000202,CUST063920,BUSINESS,3442596
LOAN000203,CUST059583,HOME,2038687
LOAN000204,CUST011856,PERSONAL,4883576
LOAN000205,CUST094053,CAR,3183815
LOAN000206,CUST025919,BUSINESS,2176248
LOAN000207,CUST067913,CAR,3255433
LOAN000208,CUST004460,PERSONAL,1503136
LOAN000209,CUST074711,BUSINESS,1158622
LOAN000210,CUST051779,BUSINESS,3674885
LOAN000211,CUST039642,CAR,2750339
LOAN000212,CUST070379,BUSINESS,3249049
LOAN000213,CUST076709,HOME,4716627
LOAN000214,CUST048792,HOME,1832688
LOAN000215,CUST038402,CAR,3419206
LOAN000216,CUST046774,PERSONAL,986898
LOAN000217,CUST090026,HOME,1344110
LOAN000218,CUST061573,HOME,798615
LOAN000219,CUST035051,CAR,2136618
LOAN000220,CUST072622,BUSINESS,860697
LOAN000221,CUST077152,PERSONAL,4423059
LOAN000222,CUST071364,PERSONAL,1589802
LOAN000223,CUST041741,PERSONAL,4538471
LOAN000224,CUST096569,PERSONAL,4541398
LOAN000225,CUST080097,HOME,213436
LOAN000226,CUST046041,CAR,3895445
LOAN000227,CUST095826,PERSONAL,4656179
LOAN000228,CUST074360,PERSONAL,1290234
LOAN000229,CUST009508,BUSINESS,1639234
LOAN000230,CUST085731,PERSONAL,4214030
LOAN000231,CUST072146,BUSINESS,958976
LOAN000232,CUST028760,HOME,3713432
LOAN000233,CUST020499,HOME,218371
LOAN000234,CUST046198,HOME,1675552
LOAN000235,CUST021347,HOME,4367822
LOAN000236,CUST088370,BUSINESS,325996
LOAN000237,CUST071626,PERSONAL,4374850
LOAN000238,CUST008725,CAR,3233971
LOAN000239,CUST075765,BUSINESS,1180633
LOAN000240,CUST051162,HOME,2824455
LOAN000241,CUST050472,BUSINESS,2238753
LOAN000242,CUST039760,HOME,2527916
LOAN000243,CUST089425,HOME,136710
LOAN000244,CUST054136,HOME,3455083
LOAN000245,CUST097683,BUSINESS,3782705
LOAN000246,CUST070721,BUSINESS,2959335
LOAN000247,CUST059074,PERSONAL,4315220
LOAN000248,CUST075244,HOME,3564176
LOAN000249,CUST081274,PERSONAL,4039677
LOAN000250,CUST020155,CAR,4656005
LOAN000251,CUST081901,BUSINESS,2970225
LOAN000252,CUST033393,CAR,2518179
LOAN000253,CUST069584,CAR,2753185
LOAN000254,CUST087411,PERSONAL,2588952
LOAN000255,CUST017383,CAR,3732004
LOAN000256,CUST083310,PERSONAL,4052856
LOAN000257,CUST072825,BUSINESS,4541201
LOAN000258,CUST061644,PERSONAL,4125265
LOAN000259,CUST017172,CAR,699649
LOAN000260,CUST075839,CAR,3954707
LOAN000261,CUST024819,CAR,253419
LOAN000262,CUST084590,CAR,4346715
LOAN000263,CUST071878,PERSONAL,4170981
LOAN000264,CUST088782,PERSONAL,2295824
LOAN000265,CUST010418,BUSINESS,2417140
LOAN000266,CUST091747,PERSONAL,400381
LOAN000267,CUST000442,BUSINESS,543219
LOAN000268,CUST028975,BUSINESS,4699962
LOAN000269,CUST011397,PERSONAL,1491603
LOAN000270,CUST063947,HOME,3521523
LOAN000271,CUST012894,PERSONAL,1550069
LOAN000272,CUST049642,BUSINESS,1380742
LOAN000273,CUST034733,PERSONAL,1250800
LOAN000274,CUST041362,CAR,1445762
LOAN000275,CUST021230,BUSINESS,3063514
LOAN000276,CUST088399,PERSONAL,4822714
LOAN000277,CUST006556,BUSINESS,3909119
LOAN000278,CUST092161,HOME,4978468
LOAN000279,CUST045618,PERSONAL,4193911
LOAN000280,CUST044485,BUSINESS,4957000
LOAN000281,CUST054482,BUSINESS,1121594
LOAN000282,CUST045897,PERSONAL,1329743
LOAN000283,CUST039182,HOME,2011784
LOAN000284,CUST023555,BUSINESS,4675842
LOAN000285,CUST019632,PERSONAL,3636417
LOAN000286,CUST043677,BUSINESS,4516504
LOAN000287,CUST031993,PERSONAL,4416592
LOAN000288,CUST059991,CAR,2460074
LOAN000289,CUST023141,HOME,1573810
LOAN000290,CUST003578,BUSINESS,450303
LOAN000291,CUST060580,CAR,1235055
LOAN000292,CUST067354,HOME,3347161
LOAN000293,CUST078552,BUSINESS,2554369
LOAN000294,CUST046194,CAR,2692735
LOAN000295,CUST084831,PERSONAL,4894146
LOAN000296,CUST067200,PERSONAL,3089200
LOAN000297,CUST006382,HOME,1082725
LOAN000298,CUST010045,CAR,4025006
LOAN000299,CUST018239,HOME,3579802
LOAN000300,CUST061407,PERSONAL,197587
LOAN000301,CUST088621,BUSINESS,150860
LOAN000302,CUST071162,CAR,1500625
LOAN000303,CUST034551,CAR,3840859
LOAN000304,CUST022106,CAR,2049899
LOAN000305,CUST004104,HOME,582443
LOAN000306,CUST021863,CAR,518051
LOAN000307,CUST003223,PERSONAL,3651764
LOAN000308,CUST032470,CAR,1713991
LOAN000309,CUST062803,HOME,4506233
LOAN000310,CUST048679,BUSINESS,3336450
LOAN000311,CUST034111,CAR,2886341
LOAN000312,CUST007069,PERSONAL,2068915
LOAN000313,CUST089629,BUSINESS,929521
LOAN000314,CUST091795,HOME,2451543
LOAN000315,CUST058325,PERSONAL,4859346
LOAN000316,CUST091792,PERSONAL,3597667
LOAN000317,CUST027773,CAR,3114120
LOAN000318,CUST015505,HOME,4123890
LOAN000319,CUST002847,HOME,1196838
LOAN000320,CUST095257,HOME,2809006
LOAN000321,CUST070735,CAR,2339593
LOAN000322,CUST055182,CAR,758318
LOAN000323,CUST059313,HOME,475432
LOAN000324,CUST083349,PERSONAL,3954149
LOAN000325,CUST075502,PERSONAL,420031
LOAN000326,CUST088728,HOME,1419974
LOAN000327,CUST078216,BUSINESS,478510
LOAN000328,CUST031674,CAR,3005295
LOAN000329,CUST059159,HOME,212266
LOAN000330,CUST092784,HOME,2763088
LOAN000331,CUST078273,HOME,3609094
LOAN000332,CUST082210,PERSONAL,3276799
LOAN000333,CUST094878,PERSONAL,1160457
LOAN000334,CUST018592,PERSONAL,3182771
LOAN000335,CUST050269,BUSINESS,1339645
LOAN000336,CUST057145,CAR,1480861
LOAN000337,CUST045651,CAR,268591
LOAN000338,CUST054109,HOME,2287023
LOAN000339,CUST093176,BUSINESS,579348
LOAN000340,CUST011173,BUSINESS,3696678
LOAN000341,CUST057563,CAR,790890
LOAN000342,CUST070997,PERSONAL,3368615
LOAN000343,CUST059584,BUSINESS,3632971
LOAN000344,CUST075628,HOME,2439316
LOAN000345,CUST029435,CAR,1486427
LOAN000346,CUST073707,PERSONAL,2995337
LOAN000347,CUST040157,HOME,3839396
LOAN000348,CUST065638,CAR,1348697
LOAN000349,CUST026457,CAR,960291
LOAN000350,CUST062495,PERSONAL,3953755
LOAN000351,CUST025028,CAR,3412084
LOAN000352,CUST063111,PERSONAL,1302481
LOAN000353,CUST073270,BUSINESS,1868705
LOAN000354,CUST098222,HOME,4937055
LOAN000355,CUST083994,BUSINESS,374568
LOAN000356,CUST045148,BUSINESS,1991986
LOAN000357,CUST036528,HOME,4950473
LOAN000358,CUST088234,HOME,3116541
LOAN000359,CUST072822,PERSONAL,1773976
LOAN000360,CUST025451,HOME,3761425
LOAN000361,CUST032234,CAR,3388615
LOAN000362,CUST071835,HOME,2856617
LOAN000363,CUST089606,BUSINESS,345779
LOAN000364,CUST061202,HOME,4287667
LOAN000365,CUST067359,BUSINESS,447455
LOAN000366,CUST009632,BUSINESS,3642298
LOAN000367,CUST001541,CAR,868676
LOAN000368,CUST042906,BUSINESS,4367021
LOAN000369,CUST086742,BUSINESS,2647848
LOAN000370,CUST027199,BUSINESS,4030848
LOAN000371,CUST023877,PERSONAL,4935427
LOAN000372,CUST094080,BUSINESS,3201883
LOAN000373,CUST063092,PERSONAL,4607705
LOAN000374,CUST095569,BUSINESS,343869
LOAN000375,CUST035691,BUSINESS,3545059
LOAN000376,CUST042025,PERSONAL,3109225
LOAN000377,CUST026380,HOME,227420
LOAN000378,CUST001774,PERSONAL,4062403
LOAN000379,CUST034291,PERSONAL,189250
LOAN000380,CUST079884,PERSONAL,4653635
LOAN000381,CUST043507,CAR,3835377
LOAN000382,CUST048862,PERSONAL,617135
LOAN000383,CUST026742,PERSONAL,1410560
LOAN000384,CUST096548,PERSONAL,4760137
LOAN000385,CUST052491,HOME,3541063
LOAN000386,CUST090330,BUSINESS,1877241
LOAN000387,CUST050545,PERSONAL,514896
LOAN000388,CUST086768,CAR,282019
LOAN000389,CUST081108,CAR,4657035
LOAN000390,CUST030492,CAR,819981
LOAN000391,CUST055638,PERSONAL,2757758
LOAN000392,CUST030574,CAR,2747940
LOAN000393,CUST099673,PERSONAL,2058407
LOAN000394,CUST085334,HOME,2683981
LOAN000395,CUST089925,BUSINESS,1083674
LOAN000396,CUST095787,BUSINESS,3453466
LOAN000397,CUST033690,HOME,1644095
LOAN000398,CUST045488,HOME,2576016
LOAN000399,CUST043163,PERSONAL,4346283
LOAN000400,CUST030649,HOME,658103
LOAN000401,CUST044669,BUSINESS,1526266
LOAN000402,CUST013572,PERSONAL,498996
LOAN000403,CUST029058,BUSINESS,358935
LOAN000404,CUST033654,CAR,1519545
LOAN000405,CUST082849,PERSONAL,1247535
LOAN000406,CUST021095,PERSONAL,1368418
LOAN000407,CUST026214,PERSONAL,4657981
LOAN000408,CUST099225,BUSINESS,962493
LOAN000409,CUST017397,HOME,3610940
LOAN000410,CUST046344,HOME,162701
LOAN000411,CUST009415,CAR,3073687
LOAN000412,CUST067787,PERSONAL,4876055
LOAN000413,CUST029606,BUSINESS,3493051
LOAN000414,CUST028190,CAR,4641453
LOAN000415,CUST046203,CAR,2163056
LOAN000416,CUST061925,PERSONAL,1586283
LOAN000417,CUST054293,CAR,4053061
LOAN000418,CUST037455,CAR,2001447
LOAN000419,CUST088471,CAR,1540703
LOAN000420,CUST029610,BUSINESS,2497798
LOAN000421,CUST022414,HOME,737772
LOAN000422,CUST034708,HOME,4572392
LOAN000423,CUST064908,CAR,4871007
LOAN000424,CUST035074,BUSINESS,3763181
LOAN000425,CUST099649,CAR,4372065
LOAN000426,CUST060541,PERSONAL,4591999
LOAN000427,CUST016380,PERSONAL,2354453
LOAN000428,CUST038974,CAR,938773
LOAN000429,CUST028183,HOME,4030190
LOAN000430,CUST054084,HOME,1474478
LOAN000431,CUST038802,BUSINESS,4672146
LOAN000432,CUST042290,HOME,2853201
LOAN000433,CUST004770,PERSONAL,4157932
LOAN000434,CUST092828,PERSONAL,1364527
LOAN000435,CUST011752,CAR,2671639
LOAN000436,CUST023213,PERSONAL,2999821
LOAN000437,CUST062541,BUSINESS,3009070
LOAN000438,CUST041320,CAR,1390728
LOAN000439,CUST057196,PERSONAL,1150360
LOAN000440,CUST015799,HOME,4020938
LOAN000441,CUST017211,HOME,1156237
LOAN000442,CUST003738,HOME,921859
LOAN000443,CUST026817,PERSONAL,746111
LOAN000444,CUST022275,HOME,3754046
LOAN000445,CUST042006,BUSINESS,971028
LOAN000446,CUST048998,CAR,718828
LOAN000447,CUST051844,CAR,2135473
LOAN000448,CUST070222,PERSONAL,2544560
LOAN000449,CUST094663,HOME,1222351
LOAN000450,CUST016663,PERSONAL,3359117
LOAN000451,CUST073756,CAR,4789328
LOAN000452,CUST019017,PERSONAL,4464705
LOAN000453,CUST021162,PERSONAL,3992323
LOAN000454,CUST079184,BUSINESS,3087612
LOAN000455,CUST056814,CAR,3254993
LOAN000456,CUST009648,CAR,478176
LOAN000457,CUST096356,PERSONAL,1193956
LOAN000458,CUST070099,PERSONAL,3443399
LOAN000459,CUST006421,HOME,856061
LOAN000460,CUST042784,PERSONAL,2220530
LOAN000461,CUST094915,BUSINESS,2038142
LOAN000462,CUST095927,PERSONAL,3220189
LOAN000463,CUST073014,BUSINESS,1753908
LOAN000464,CUST047895,PERSONAL,1086256
LOAN000465,CUST048173,PERSONAL,964001
LOAN000466,CUST044284,CAR,2498080
LOAN000467,CUST000315,PERSONAL,1263185
LOAN000468,CUST096980,HOME,2374365
LOAN000469,CUST046455,BUSINESS,2367139
LOAN000470,CUST032175,PERSONAL,3867345
LOAN000471,CUST017275,CAR,2214103
LOAN000472,CUST058531,CAR,3741380
LOAN000473,CUST078101,CAR,4972730
LOAN000474,CUST039844,CAR,4322710
LOAN000475,CUST062795,PERSONAL,1809744
LOAN000476,CUST028639,PERSONAL,3014598
LOAN000477,CUST098480,HOME,2600628
LOAN000478,CUST051467,PERSONAL,996214
LOAN000479,CUST005666,PERSONAL,3245859
LOAN000480,CUST099438,CAR,1117666
LOAN000481,CUST009472,BUSINESS,2027941
LOAN000482,CUST045237,HOME,858081
LOAN000483,CUST061331,PERSONAL,4106101
LOAN000484,CUST011798,BUSINESS,4325565
LOAN000485,CUST047741,BUSINESS,1812287
LOAN000486,CUST015857,HOME,2462532
LOAN000487,CUST030612,HOME,4245641
LOAN000488,CUST082016,HOME,1927572
LOAN000489,CUST064928,BUSINESS,2357768
LOAN000490,CUST043827,BUSINESS,1403816
LOAN000491,CUST043675,CAR,309543
LOAN000492,CUST006387,CAR,1587648
LOAN000493,CUST092946,HOME,2805690
LOAN000494,CUST064659,BUSINESS,2817135
LOAN000495,CUST052705,PERSONAL,360765
LOAN000496,CUST052976,BUSINESS,837067
LOAN000497,CUST013496,BUSINESS,2431259
LOAN000498,CUST040366,PERSONAL,165346
LOAN000499,CUST049718,HOME,1990658
LOAN000500,CUST094764,BUSINESS,4215362
LOAN000501,CUST061191,BUSINESS,4344776
LOAN000502,CUST016594,PERSONAL,3409664
LOAN000503,CUST035736,BUSINESS,826828
LOAN000504,CUST089064,HOME,1559738
LOAN000505,CUST053485,CAR,2275483
LOAN000506,CUST038055,BUSINESS,1738219
LOAN000507,CUST028406,BUSINESS,2878009
LOAN000508,CUST088324,PERSONAL,2636891
LOAN000509,CUST012925,PERSONAL,3291892
LOAN000510,CUST047769,CAR,352635
LOAN000511,CUST068499,CAR,2452226
LOAN000512,CUST070164,CAR,4832801
LOAN000513,CUST029305,PERSONAL,2550327
LOAN000514,CUST012073,CAR,4488830
LOAN000515,CUST010276,BUSINESS,3467006
LOAN000516,CUST095469,BUSINESS,2492479
LOAN000517,CUST062121,CAR,1413305
LOAN000518,CUST038351,BUSINESS,960698
LOAN000519,CUST092130,PERSONAL,2593395
LOAN000520,CUST041721,HOME,2453551
LOAN000521,CUST033887,BUSINESS,2850724
LOAN000522,CUST048395,HOME,2992931
LOAN000523,CUST099429,CAR,1443831
LOAN000524,CUST090214,PERSONAL,2317860
LOAN000525,CUST004881,CAR,2461311
LOAN000526,CUST048182,PERSONAL,3990995
LOAN000527,CUST051941,BUSINESS,2606600
LOAN000528,CUST000256,CAR,3129203
LOAN000529,CUST078171,HOME,3221088
LOAN000530,CUST042913,CAR,576319
LOAN000531,CUST030658,CAR,4387158
LOAN000532,CUST042403,BUSINESS,1894700
LOAN000533,CUST089693,CAR,597910
LOAN000534,CUST027689,BUSINESS,736735
LOAN000535,CUST040160,BUSINESS,1504029
LOAN000536,CUST042920,PERSONAL,124785
LOAN000537,CUST017352,BUSINESS,1659138
LOAN000538,CUST033586,BUSINESS,189543
LOAN000539,CUST039887,HOME,3010005
LOAN000540,CUST095298,HOME,1076065
LOAN000541,CUST035031,HOME,3890620
LOAN000542,CUST077183,BUSINESS,1138209
LOAN000543,CUST009769,HOME,1849062
LOAN000544,CUST070599,HOME,1730419
LOAN000545,CUST061075,HOME,3544581
LOAN000546,CUST060735,CAR,1314164
LOAN000547,CUST006939,CAR,1517125
LOAN000548,CUST099289,BUSINESS,4524675
LOAN000549,CUST061702,HOME,873434
LOAN000550,CUST055710,PERSONAL,3067942
LOAN000551,CUST095993,CAR,2273181
LOAN000552,CUST025641,PERSONAL,679513
LOAN000553,CUST073589,CAR,3662918
LOAN000554,CUST022297,PERSONAL,4426421
LOAN000555,CUST073210,PERSONAL,419210
LOAN000556,CUST067390,BUSINESS,373991
LOAN000557,CUST060855,CAR,3650474
LOAN000558,CUST069742,HOME,272060
LOAN000559,CUST059655,BUSINESS,2973175
LOAN000560,CUST032535,BUSINESS,4606343
LOAN000561,CUST059822,CAR,259652
LOAN000562,CUST096095,PERSONAL,4315934
LOAN000563,CUST026174,HOME,1529419
LOAN000564,CUST074085,CAR,3073978
LOAN000565,CUST088251,BUSINESS,4107240
LOAN000566,CUST098584,PERSONAL,839518
LOAN000567,CUST047466,CAR,1403121
LOAN000568,CUST060383,BUSINESS,4304060
LOAN000569,CUST096539,BUSINESS,4975201
LOAN000570,CUST057545,CAR,1206119
LOAN000571,CUST004010,HOME,4958578
LOAN000572,CUST043499,BUSINESS,4686715
LOAN000573,CUST089321,BUSINESS,3047930
LOAN000574,CUST058374,CAR,1633043
LOAN000575,CUST048138,HOME,2679680
LOAN000576,CUST099981,HOME,4029053
LOAN000577,CUST077065,PERSONAL,908275
LOAN000578,CUST009957,CAR,3159424
LOAN000579,CUST057564,BUSINESS,3374775
LOAN000580,CUST023948,CAR,383495
LOAN000581,CUST011291,HOME,3443333
LOAN000582,CUST064911,BUSINESS,1178479
LOAN000583,CUST080484,PERSONAL,3485056
LOAN000584,CUST017233,HOME,1759377
LOAN000585,CUST088574,CAR,1856393
LOAN000586,CUST069812,HOME,4530876
LOAN000587,CUST012464,BUSINESS,3664447
LOAN000588,CUST028628,CAR,1311009
LOAN000589,CUST082288,BUSINESS,3181906
LOAN000590,CUST083172,HOME,1630043
LOAN000591,CUST005359,CAR,1245465
LOAN000592,CUST097119,PERSONAL,3212350
LOAN000593,CUST004205,BUSINESS,3118810
LOAN000594,CUST041543,PERSONAL,1579492
LOAN000595,CUST037590,HOME,4891248
LOAN000596,CUST086086,BUSINESS,528672
LOAN000597,CUST089937,PERSONAL,393089
LOAN000598,CUST075962,PERSONAL,2255271
LOAN000599,CUST096177,BUSINESS,1357142
LOAN000600,CUST078067,HOME,2785151
LOAN000601,CUST032930,BUSINESS,4507888
LOAN000602,CUST030988,HOME,4982278
LOAN000603,CUST013000,CAR,4312859
LOAN000604,CUST067120,CAR,1416126
LOAN000605,CUST084388,HOME,3800893
LOAN000606,CUST055858,CAR,491344
LOAN000607,CUST067455,CAR,2792744
LOAN000608,CUST053910,PERSONAL,129482
LOAN000609,CUST032057,BUSINESS,4206843
LOAN000610,CUST049327,BUSINESS,3122786
LOAN000611,CUST063147,BUSINESS,2302745
LOAN000612,CUST043204,CAR,1298304
LOAN000613,CUST098788,PERSONAL,1125746
LOAN000614,CUST012425,BUSINESS,3421341
LOAN000615,CUST001275,PERSONAL,4441873
LOAN000616,CUST031951,BUSINESS,536362
LOAN000617,CUST088858,BUSINESS,3148393
LOAN000618,CUST018436,HOME,1464962
LOAN000619,CUST027002,BUSINESS,1129882
LOAN000620,CUST038145,BUSINESS,1049304
LOAN000621,CUST073568,HOME,1820515
LOAN000622,CUST072260,PERSONAL,3176811
