account_id,customer_id,account_type,balance
ACC000106,CUST078647,SAVINGS,489708
ACC000107,CUST044509,SALARY,202345
ACC000108,CUST000994,SAVINGS,469733
ACC000109,CUST091673,SAVINGS,241329
ACC000110,CUST004905,SALARY,76252
ACC000111,CUST039797,CURRENT,433510
ACC000112,CUST071784,SALARY,38818
ACC000113,CUST005465,SAVINGS,193486
ACC000114,CUST064828,SALARY,278685
ACC000115,CUST087656,SALARY,139668
ACC000116,CUST020979,SAVINGS,457128
ACC000117,CUST067995,SAVINGS,285183
ACC000118,CUST023803,CURRENT,369244
ACC000119,CUST042584,CURRENT,78704
ACC000120,CUST063226,CURRENT,365218
ACC000121,CUST096673,SALARY,298810
ACC000122,CUST005154,SALARY,479443
ACC000123,CUST017711,CURRENT,103412
ACC000124,CUST032927,SAVINGS,85802
ACC000125,CUST079219,SALARY,165977
ACC000126,CUST085117,CURRENT,225264
ACC000127,CUST001966,CURRENT,303356
ACC000128,CUST078896,CURRENT,73646
ACC000129,CUST014184,CURRENT,337966
ACC000130,CUST010649,SALARY,81990
ACC000131,CUST027639,SALARY,290448
ACC000132,CUST094159,SALARY,2905
ACC000133,CUST080437,SALARY,201679
ACC000134,CUST008545,SAVINGS,402395
ACC000135,CUST018097,SAVINGS,86851
ACC000136,CUST097417,SALARY,361751
ACC000137,CUST091541,SALARY,46161
ACC000138,CUST043139,CURRENT,21296
ACC000139,CUST085302,CURRENT,374885
ACC000140,CUST086841,SAVINGS,398672
ACC000141,CUST011790,CURRENT,397105
ACC000142,CUST007696,SALARY,494840
ACC000143,CUST016111,SAVINGS,64526
ACC000144,CUST095525,CURRENT,392099
ACC000145,CUST019373,SAVINGS,288572
ACC000146,CUST054378,SAVINGS,80641
ACC000147,CUST092420,SALARY,148725
ACC000148,CUST021331,SALARY,247671
ACC000149,CUST081788,SAVINGS,198714
ACC000150,CUST095600,CURRENT,337176
ACC000151,CUST010205,CURRENT,301812
ACC000152,CUST089765,SAVINGS,227628
ACC000153,CUST099104,SAVINGS,255474
ACC000154,CUST039465,SAVINGS,382229
ACC000155,CUST053127,SALARY,382558
ACC000156,CUST014921,SALARY,133562
ACC000157,CUST009977,CURRENT,319708
ACC000158,CUST062742,SALARY,411055
ACC000159,CUST046620,CURRENT,203707
ACC000160,CUST065094,SAVINGS,362508
ACC000161,CUST088765,CURRENT,167978
ACC000162,CUST015948,SALARY,226944
ACC000163,CUST053345,SAVINGS,47210
ACC000164,CUST000894,CURRENT,140487
ACC000165,CUST080183,SAVINGS,437478
ACC000166,CUST016327,CURRENT,178834
ACC000167,CUST093852,CURRENT,400277
ACC000168,CUST024388,CURRENT,375388
ACC000169,CUST019896,CURRENT,315578
ACC000170,CUST064051,SALARY,159192
ACC000171,CUST076599,SALARY,199917
ACC000172,CUST055330,CURRENT,286233
ACC000173,CUST009971,CURRENT,4322
ACC000174,CUST028555,SAVINGS,422326
ACC000175,CUST010751,CURRENT,260104
ACC000176,CUST071413,SALARY,390176
ACC000177,CUST031162,CURRENT,373519
ACC000178,CUST036859,CURRENT,329012
ACC000179,CUST092105,SALARY,428811
ACC000180,CUST010690,SALARY,171886
ACC000181,CUST021272,SALARY,188475
ACC000182,CUST010851,CURRENT,40898
ACC000183,CUST075557,CURRENT,78258
ACC000184,CUST051502,SAVINGS,109438
ACC000185,CUST067234,SALARY,154395
ACC000186,CUST035837,SAVINGS,441903
ACC000187,CUST072204,CURRENT,217375
ACC000188,CUST009345,SALARY,204791
ACC000189,CUST012498,CURRENT,494061
ACC000190,CUST007441,SAVINGS,304441
ACC000191,CUST035057,SAVINGS,380954
ACC000192,CUST047128,SALARY,427445
ACC000193,CUST013255,CURRENT,94146
ACC000194,CUST029621,CURRENT,478694
ACC000195,CUST003053,CURRENT,12136
ACC000196,CUST066209,SALARY,407619
ACC000197,CUST097719,SALARY,243529
ACC000198,CUST005227,CURRENT,480446
ACC000199,CUST061696,SALARY,116353
ACC000200,CUST077030,SAVINGS,84085
ACC000201,CUST075271,CURRENT,2046
ACC000202,CUST028500,CURRENT,99907
ACC000203,CUST071428,SALARY,81477
ACC000204,CUST091439,SAVINGS,261176
ACC000205,CUST000475,CURRENT,191167
ACC000206,CUST006129,CURRENT,36153
ACC000207,CUST052705,SAVINGS,352158
ACC000208,CUST099218,SAVINGS,207097
ACC000209,CUST029765,CURRENT,397479
ACC000210,CUST047576,SAVINGS,419770
ACC000211,CUST005961,CURRENT,246200
ACC000212,CUST010292,CURRENT,8176
ACC000213,CUST003771,CURRENT,201993
ACC000214,CUST039128,SALARY,156755
ACC000215,CUST041811,SAVINGS,357336
ACC000216,CUST052986,SAVINGS,111842
ACC000217,CUST060205,CURRENT,387707
ACC000218,CUST017111,SALARY,459163
ACC000219,CUST018692,SALARY,479943
ACC000220,CUST051114,SALARY,100315
ACC000221,CUST011781,SALARY,221194
ACC000222,CUST000182,CURRENT,180801
ACC000223,CUST013580,SALARY,55185
ACC000224,CUST071278,CURRENT,23331
ACC000225,CUST038137,SALARY,408887
ACC000226,CUST075220,SAVINGS,11261
ACC000227,CUST006519,CURRENT,32330
ACC000228,CUST056072,SAVINGS,143213
ACC000229,CUST085169,SALARY,146983
ACC000230,CUST022522,CURRENT,86181
ACC000231,CUST009441,SALARY,427333
ACC000232,CUST066406,CURRENT,469055
ACC000233,CUST094365,SAVINGS,489522
ACC000234,CUST025614,SAVINGS,274171
ACC000235,CUST046710,SALARY,302726
ACC000236,CUST001800,SALARY,401409
ACC000237,CUST095161,SALARY,287045
ACC000238,CUST092962,SALARY,135904
ACC000239,CUST050612,SAVINGS,466432
ACC000240,CUST056696,CURRENT,420305
ACC000241,CUST042865,CURRENT,464031
ACC000242,CUST075515,CURRENT,275509
ACC000243,CUST050022,SALARY,488186
ACC000244,CUST018732,SALARY,110544
ACC000245,CUST048018,SAVINGS,307341
ACC000246,CUST061992,CURRENT,474493
ACC000247,CUST084142,SAVINGS,10161
ACC000248,CUST036946,CURRENT,246953
ACC000249,CUST023240,CURRENT,371477
ACC000250,CUST012293,SALARY,11269
ACC000251,CUST058554,SAVINGS,77606
ACC000252,CUST011450,SAVINGS,498115
ACC000253,CUST069796,SAVINGS,301994
ACC000254,CUST019702,CURRENT,167480
ACC000255,CUST079571,SAVINGS,227417
ACC000256,CUST089909,SALARY,435240
ACC000257,CUST006305,CURRENT,157529
ACC000258,CUST002334,CURRENT,196870
ACC000259,CUST034629,SALARY,373676
ACC000260,CUST098373,CURRENT,303477
ACC000261,CUST093962,SALARY,227808
ACC000262,CUST014949,SAVINGS,306225
ACC000263,CUST040394,CURRENT,240418
ACC000264,CUST003413,SAVINGS,469206
ACC000265,CUST097820,SAVINGS,446924
ACC000266,CUST097574,SALARY,387889
ACC000267,CUST071564,SALARY,407258
ACC000268,CUST077539,CURRENT,296682
ACC000269,CUST073045,CURRENT,73330
ACC000270,CUST024360,SALARY,289719
ACC000271,CUST022484,SAVINGS,218462
ACC000272,CUST022456,SAVINGS,149169
ACC000273,CUST053149,SAVINGS,149894
ACC000274,CUST075049,CURRENT,213827
ACC000275,CUST084647,SALARY,477436
ACC000276,CUST057640,SALARY,422484
ACC000277,CUST046303,CURRENT,219493
ACC000278,CUST019435,SAVINGS,74795
ACC000279,CUST003917,CURRENT,498517
ACC000280,CUST058462,SAVINGS,76764
ACC000281,CUST059010,SAVINGS,459217
ACC000282,CUST018137,SALARY,228721
ACC000283,CUST094428,SAVINGS,263925
ACC000284,CUST082134,CURRENT,206075
ACC000285,CUST023212,CURRENT,243918
ACC000286,CUST084639,SALARY,26002
ACC000287,CUST011822,SAVINGS,69629
ACC000288,CUST009375,SAVINGS,292741
ACC000289,CUST094444,SALARY,48018
ACC000290,CUST095754,SAVINGS,441732
ACC000291,CUST021753,CURRENT,408660
ACC000292,CUST003661,CURRENT,5383
ACC000293,CUST023846,SAVINGS,345322
ACC000294,CUST065734,CURRENT,318040
ACC000295,CUST045415,SAVINGS,107324
ACC000296,CUST052952,CURRENT,172257
ACC000297,CUST025199,SAVINGS,408546
ACC000298,CUST083393,CURRENT,251292
ACC000299,CUST020528,CURRENT,308949
ACC000300,CUST085619,SALARY,169434
ACC000301,CUST069056,SAVINGS,341155
ACC000302,CUST085174,SALARY,262238
ACC000303,CUST084982,CURRENT,419899
ACC000304,CUST017847,CURRENT,256092
ACC000305,CUST086999,SAVINGS,462360
ACC000306,CUST058757,SAVINGS,62278
ACC000307,CUST051984,SAVINGS,167171
ACC000308,CUST063833,SALARY,344832
ACC000309,CUST017492,CURRENT,168140
ACC000310,CUST036051,SAVINGS,285668
ACC000311,CUST046019,CURRENT,418386
ACC000312,CUST031227,CURRENT,137910
ACC000313,CUST013445,SAVINGS,79736
ACC000314,CUST007259,SALARY,111949
ACC000315,CUST013866,CURRENT,68552
ACC000316,CUST017388,SAVINGS,427017
ACC000317,CUST061264,SAVINGS,445690
ACC000318,CUST017616,SAVINGS,163060
ACC000319,CUST042464,SAVINGS,120879
ACC000320,CUST090957,SALARY,86036
ACC000321,CUST050538,CURRENT,277644
ACC000322,CUST012996,CURRENT,20956
ACC000323,CUST076138,CURRENT,400353
ACC000324,CUST079036,SALARY,130154
ACC000325,CUST010013,CURRENT,109196
ACC000326,CUST013014,CURRENT,264249
ACC000327,CUST004250,SAVINGS,167983
ACC000328,CUST014662,SAVINGS,165365
ACC000329,CUST063353,CURRENT,176898
ACC000330,CUST011220,SAVINGS,348441
ACC000331,CUST051521,SAVINGS,39188
ACC000332,CUST076355,SALARY,297203
ACC000333,CUST027232,SALARY,110830
ACC000334,CUST064895,CURRENT,351022
ACC000335,CUST043925,SAVINGS,135349
ACC000336,CUST042353,SALARY,128851
ACC000337,CUST047763,CURRENT,41481
ACC000338,CUST052996,CURRENT,13830
ACC000339,CUST008379,SALARY,325289
ACC000340,CUST018246,SALARY,15840
ACC000341,CUST009710,CURRENT,185114
ACC000342,CUST059582,SAVINGS,55809
ACC000343,CUST091582,CURRENT,155005
ACC000344,CUST058469,SAVINGS,13854
ACC000345,CUST024207,SALARY,214398
ACC000346,CUST029768,SAVINGS,133220
ACC000347,CUST024351,SAVINGS,452940
ACC000348,CUST029896,SAVINGS,81517
ACC000349,CUST082426,SALARY,153619
ACC000350,CUST025172,SALARY,388294
ACC000351,CUST003568,SAVINGS,106593
ACC000352,CUST044383,CURRENT,36887
ACC000353,CUST050938,SALARY,499146
ACC000354,CUST073943,SALARY,239916
ACC000355,CUST024168,SAVINGS,218637
ACC000356,CUST080789,SAVINGS,218435
ACC000357,CUST040300,SALARY,80869
ACC000358,CUST030386,SAVINGS,31736
ACC000359,CUST048116,SAVINGS,443365
ACC000360,CUST062637,CURRENT,122304
ACC000361,CUST052552,SALARY,20020
ACC000362,CUST041003,CURRENT,238077
ACC000363,CUST048695,CURRENT,238133
ACC000364,CUST082615,CURRENT,285568
ACC000365,CUST085458,SAVINGS,246276
ACC000366,CUST040769,SAVINGS,335676
ACC000367,CUST042551,SALARY,155304
ACC000368,CUST079468,SAVINGS,151602
ACC000369,CUST022705,SAVINGS,303867
ACC000370,CUST006604,SAVINGS,326446
ACC000371,CUST019965,SALARY,190594
ACC000372,CUST082866,SALARY,108540
ACC000373,CUST090721,SALARY,256542
ACC000374,CUST043669,SAVINGS,81311
ACC000375,CUST061835,CURRENT,214864
ACC000376,CUST074578,SAVINGS,311536
ACC000377,CUST075430,SALARY,321835
ACC000378,CUST037009,SAVINGS,357964
ACC000379,CUST023816,SAVINGS,43680
ACC000380,CUST012948,SAVINGS,191946
ACC000381,CUST080857,SAVINGS,57372
ACC000382,CUST005341,CURRENT,140813
ACC000383,CUST031204,SAVINGS,233419
ACC000384,CUST009185,CURRENT,292574
ACC000385,CUST054911,CURRENT,428255
ACC000386,CUST047571,SAVINGS,30366
ACC000387,CUST052424,SAVINGS,239660
ACC000388,CUST066201,SALARY,140960
ACC000389,CUST092468,CURRENT,58681
ACC000390,CUST072216,CURRENT,459676
ACC000391,CUST009764,CURRENT,271445
ACC000392,CUST063780,CURRENT,499932
ACC000393,CUST012842,CURRENT,360520
ACC000394,CUST078963,CURRENT,296357
ACC000395,CUST051619,SALARY,23504
ACC000396,CUST081681,SAVINGS,227429
ACC000397,CUST035152,CURRENT,287714
ACC000398,CUST093121,SALARY,227618
ACC000399,CUST097665,CURRENT,300962
ACC000400,CUST060986,SALARY,3042
ACC000401,CUST073875,CURRENT,166914
ACC000402,CUST079319,SALARY,250378
ACC000403,CUST079359,SAVINGS,240795
ACC000404,CUST003926,CURRENT,214051
ACC000405,CUST068422,CURRENT,220251
ACC000406,CUST080423,CURRENT,282169
ACC000407,CUST089567,SALARY,391473
ACC000408,CUST019498,SAVINGS,492646
ACC000409,CUST061554,CURRENT,491656
ACC000410,CUST078868,SAVINGS,406183
ACC000411,CUST065341,SALARY,103593
ACC000412,CUST087229,SAVINGS,52081
ACC000413,CUST068205,SAVINGS,313215
ACC000414,CUST009903,CURRENT,451160
ACC000415,CUST014425,CURRENT,220276
ACC000416,CUST011561,CURRENT,62844
ACC000417,CUST045638,SAVINGS,51486
ACC000418,CUST049187,CURRENT,212613
ACC000419,CUST078463,SALARY,150766
ACC000420,CUST081552,SAVINGS,138305
ACC000421,CUST029474,SALARY,375568
ACC000422,CUST074015,SALARY,54160
ACC000423,CUST095201,CURRENT,212297
ACC000424,CUST018157,SALARY,120968
ACC000425,CUST090822,CURRENT,65670
ACC000426,CUST059381,CURRENT,352782
ACC000427,CUST056587,SALARY,340609
ACC000428,CUST012977,CURRENT,71118
ACC000429,CUST066560,SAVINGS,246556
ACC000430,CUST075036,SAVINGS,392655
ACC000431,CUST040124,SALARY,305900
ACC000432,CUST002347,SALARY,416629
ACC000433,CUST080362,CURRENT,166440
ACC000434,CUST006428,SAVINGS,126479
ACC000435,CUST020717,SALARY,150008
ACC000436,CUST088996,CURRENT,121085
ACC000437,CUST039869,SALARY,498434
ACC000438,CUST078569,SAVINGS,128869
ACC000439,CUST048983,SALARY,181443
ACC000440,CUST045310,SAVINGS,359700
ACC000441,CUST010165,SAVINGS,467662
ACC000442,CUST048749,CURRENT,368090
ACC000443,CUST005947,CURRENT,411488
ACC000444,CUST092735,SALARY,39940
ACC000445,CUST020543,SALARY,18429
ACC000446,CUST092004,SALARY,355514
ACC000447,CUST098011,CURRENT,346629
ACC000448,CUST053244,SAVINGS,8315
ACC000449,CUST070852,CURRENT,412750
ACC000450,CUST009526,SAVINGS,63338
ACC000451,CUST092656,SAVINGS,102919
ACC000452,CUST079003,SAVINGS,297434
ACC000453,CUST039835,SAVINGS,265561
ACC000454,CUST051904,CURRENT,249755
ACC000455,CUST022918,SAVINGS,475011
ACC000456,CUST085456,SALARY,186082
ACC000457,CUST001684,SAVINGS,465554
ACC000458,CUST007249,SAVINGS,457654
ACC000459,CUST066588,CURRENT,92749
ACC000460,CUST098209,CURRENT,44172
ACC000461,CUST037974,SALARY,331342
ACC000462,CUST087981,SAVINGS,338693
ACC000463,CUST003580,SALARY,443523
ACC000464,CUST040265,SAVINGS,198663
ACC000465,CUST065358,CURRENT,380094
ACC000466,CUST077768,SAVINGS,210338
ACC000467,CUST010029,CURRENT,438080
ACC000468,CUST090328,SAVINGS,154623
ACC000469,CUST006606,SAVINGS,275489
ACC000470,CUST068161,SAVINGS,195859
ACC000471,CUST095406,SALARY,486441
ACC000472,CUST037439,SALARY,417903
ACC000473,CUST022033,SAVINGS,183254
ACC000474,CUST096456,SALARY,12077
ACC000475,CUST088671,SAVINGS,457106
ACC000476,CUST036329,SALARY,407742
ACC000477,CUST060456,CURRENT,218279
ACC000478,CUST044207,CURRENT,330044
ACC000479,CUST041576,SAVINGS,331341
ACC000480,CUST015857,SAVINGS,492042
ACC000481,CUST049194,SALARY,252695
ACC000482,CUST089115,SALARY,68392
ACC000483,CUST058260,SALARY,170557
ACC000484,CUST089053,SALARY,9953
ACC000485,CUST097420,SAVINGS,79390
ACC000486,CUST006244,SAVINGS,309400
ACC000487,CUST055105,SALARY,25431
ACC000488,CUST047303,SALARY,48519
ACC000489,CUST015524,CURRENT,328409
ACC000490,CUST098250,SAVINGS,478527
ACC000491,CUST020395,CURRENT,33553
ACC000492,CUST090023,SAVINGS,384802
ACC000493,CUST006381,SALARY,484076
ACC000494,CUST004416,SAVINGS,407894
ACC000495,CUST025324,SALARY,179503
ACC000496,CUST062164,CURRENT,32975
ACC000497,CUST090810,SAVINGS,223676
ACC000498,CUST053838,SAVINGS,328552
ACC000499,CUST047597,CURRENT,443976
ACC000500,CUST023239,SAVINGS,218134
ACC000501,CUST003341,SAVINGS,242918
ACC000502,CUST093292,CURRENT,494741
ACC000503,CUST063298,SAVINGS,260356
ACC000504,CUST045782,SALARY,95377
ACC000505,CUST077291,SALARY,17338
ACC000506,CUST016968,CURRENT,344668
ACC000507,CUST030246,CURRENT,127943
ACC000508,CUST004326,CURRENT,175599
ACC000509,CUST050845,CURRENT,74186
ACC000510,CUST010540,CURRENT,348716
ACC000511,CUST008156,CURRENT,244843
ACC000512,CUST064120,SALARY,187587
ACC000513,CUST071685,SAVINGS,238154
ACC000514,CUST027582,CURRENT,100709
ACC000515,CUST062328,CURRENT,116970
ACC000516,CUST046204,CURRENT,493921
ACC000517,CUST077461,SALARY,369923
ACC000518,CUST057516,SAVINGS,83646
ACC000519,CUST081073,SAVINGS,61618
ACC000520,CUST012222,CURRENT,498612
ACC000521,CUST088108,SALARY,495176
ACC000522,CUST036842,CURRENT,42221
ACC000523,CUST039541,CURRENT,242123
ACC000524,CUST056103,SAVINGS,488220
ACC000525,CUST084539,CURRENT,441133
ACC000526,CUST062035,SAVINGS,332692
ACC000527,CUST019738,SALARY,293013
ACC000528,CUST001838,CURRENT,465237
ACC000529,CUST084828,CURRENT,491779
ACC000530,CUST092019,SALARY,246517
ACC000531,CUST090487,SAVINGS,138639
ACC000532,CUST053080,SALARY,12176
ACC000533,CUST055956,SAVINGS,407553
ACC000534,CUST097620,SALARY,325111
ACC000535,CUST062001,CURRENT,292900
ACC000536,CUST019972,CURRENT,136399
ACC000537,CUST064607,CURRENT,176000
ACC000538,CUST044791,SAVINGS,339668
ACC000539,CUST045847,SALARY,251247
ACC000540,CUST009002,SAVINGS,354238
ACC000541,CUST089172,SAVINGS,395141
ACC000542,CUST013532,SALARY,268295
ACC000543,CUST010688,SALARY,173104
ACC000544,CUST023868,CURRENT,378341
ACC000545,CUST062992,SAVINGS,173406
ACC000546,CUST053473,SAVINGS,227995
ACC000547,CUST033343,SAVINGS,311693
ACC000548,CUST028774,CURRENT,161804
ACC000549,CUST006362,SAVINGS,173669
ACC000550,CUST062439,SAVINGS,43056
ACC000551,CUST016557,CURRENT,485586
ACC000552,CUST054626,CURRENT,102173
ACC000553,CUST059702,SALARY,460053
ACC000554,CUST056506,SAVINGS,388271
ACC000555,CUST047526,SAVINGS,67322
ACC000556,CUST015132,SAVINGS,126159
ACC000557,CUST076613,SAVINGS,247563
ACC000558,CUST030255,SALARY,487553
ACC000559,CUST011171,CURRENT,83767
ACC000560,CUST078936,SALARY,303244
ACC000561,CUST087527,SALARY,189670
ACC000562,CUST014254,CURRENT,17991
ACC000563,CUST081041,CURRENT,267896
ACC000564,CUST067485,SAVINGS,28583
ACC000565,CUST023196,SALARY,57994
ACC000566,CUST043319,SAVINGS,4621
ACC000567,CUST031483,SAVINGS,289476
ACC000568,CUST050553,SALARY,344434
ACC000569,CUST028854,SALARY,262583
ACC000570,CUST082581,CURRENT,167469
ACC000571,CUST080939,SAVINGS,146894
ACC000572,CUST009787,SALARY,226014
ACC000573,CUST085742,SAVINGS,51997
ACC000574,CUST044212,CURRENT,464428
ACC000575,CUST084489,SAVINGS,462279
ACC000576,CUST040051,SALARY,311183
ACC000577,CUST007305,SAVINGS,441970
ACC000578,CUST001324,SALARY,414362
ACC000579,CUST086661,SALARY,441243
ACC000580,CUST036325,CURRENT,294039
ACC000581,CUST093412,SALARY,107645
ACC000582,CUST078253,SAVINGS,243168
ACC000583,CUST071289,SALARY,269705
ACC000584,CUST094378,SAVINGS,83398
ACC000585,CUST024542,SAVINGS,132124
ACC000586,CUST098480,SALARY,71798
ACC000587,CUST003653,SALARY,210684
ACC000588,CUST073037,SAVINGS,147302
ACC000589,CUST051228,CURRENT,148314
ACC000590,CUST076902,SALARY,44648
ACC000591,CUST097597,CURRENT,2571
ACC000592,CUST008616,SAVINGS,192607
ACC000593,CUST030094,CURRENT,134740
ACC000594,CUST054588,CURRENT,412851
ACC000595,CUST069446,SALARY,372201
ACC000596,CUST052443,SALARY,368856
ACC000597,CUST014179,SAVINGS,158089
ACC000598,CUST094216,CURRENT,123105
ACC000599,CUST061513,SAVINGS,92017
ACC000600,CUST006999,SAVINGS,356390
ACC000601,CUST079114,SALARY,136257
ACC000602,CUST035727,CURRENT,493186
ACC000603,CUST026635,CURRENT,141714
ACC000604,CUST034033,SALARY,217023
ACC000605,CUST010486,CURRENT,326820
ACC000606,CUST017670,SAVINGS,153713
ACC000607,CUST053335,CURRENT,249328
ACC000608,CUST063188,SAVINGS,176923
ACC000609,CUST085877,SALARY,445937
ACC000610,CUST075178,SAVINGS,207044
ACC000611,CUST068587,SALARY,471257
ACC000612,CUST038957,SALARY,263787
ACC000613,CUST051837,SALARY,80436
ACC000614,CUST062357,SALARY,69339
ACC000615,CUST087548,SAVINGS,288669
ACC000616,CUST090952,SAVINGS,185749
ACC000617,CUST027788,CURRENT,395003
ACC000618,CUST048067,SALARY,384490
ACC000619,CUST066765,SALARY,251792
ACC000620,CUST011944,SAVINGS,34674
ACC000621,CUST071928,SAVINGS,95672
ACC000622,CUST017512,SAVINGS,109557
ACC000623,CUST094676,SAVINGS,323475
ACC000624,CUST056367,SAVINGS,179950
ACC000625,CUST031494,SALARY,435043
ACC000626,CUST047946,SALARY,379136
ACC000627,CUST021545,CURRENT,452635
ACC000628,CUST048465,CURRENT,58706
ACC000629,CUST033118,SALARY,214010
ACC000630,CUST085795,SALARY,175808
ACC000631,CUST088806,SALARY,249580
ACC000632,CUST002048,SAVINGS,246895
ACC000633,CUST098546,CURRENT,254431
ACC000634,CUST037456,SAVINGS,493364
ACC000635,CUST018365,CURRENT,406806
ACC000636,CUST014702,SAVINGS,104119
ACC000637,CUST096423,SAVINGS,364351
ACC000638,CUST051923,CURRENT,17015
ACC000639,CUST094758,SAVINGS,314459
ACC000640,CUST008556,SAVINGS,303291
ACC000641,CUST051790,SALARY,495247
ACC000642,CUST029985,SAVINGS,71201
ACC000643,CUST075830,CURRENT,116863
ACC000644,CUST078249,SALARY,19623
ACC000645,CUST053655,SAVINGS,210857
ACC000646,CUST026548,SAVINGS,433216
ACC000647,CUST091694,CURRENT,217227
ACC000648,CUST037992,SAVINGS,197621
ACC000649,CUST050687,CURRENT,169027
ACC000650,CUST028125,CURRENT,499995
ACC000651,CUST077810,SAVINGS,321892
ACC000652,CUST064831,SAVINGS,9578
ACC000653,CUST008732,SALARY,449903
ACC000654,CUST028867,CURRENT,305290
ACC000655,CUST094898,SALARY,460030
ACC000656,CUST079439,SAVINGS,232015
ACC000657,CUST092916,CURRENT,466142
ACC000658,CUST011452,CURRENT,97477
ACC000659,CUST096140,SAVINGS,146133
ACC000660,CUST005682,CURRENT,479517
ACC000661,CUST076922,SAVINGS,386195
ACC000662,CUST094254,CURRENT,145667
ACC000663,CUST085813,CURRENT,197181
